conversation_id,customer_message,conversation_context,gold_intent,should_escalate,escalation_reason,expected_response_points,severity,annotation_confidence,annotator_notes
442967.0,[USER] Nope been today since it was purchased on Friday,"[USER] Hello Colette, has the delivery estimate changed at all, does it indicate new dates? ^BD",Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2290297.0,"[USER] I wanted to buy those products, but now I m scared to do online transection, can you please suggest some other ways to buy those products.",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
907493.0,Concerned [USER] turns on before I say “Alexa.” [URL],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
537442.0,[USER] It was for 1 December as I’m a Prime member. It also shown this on the order on the Amazon app too.,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2332362.0,My firestick won't work Help #Amazon,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1445431.0,"[USER] [USER] I was supposed to get the delivery on 1 Nov, logistic lost package and now you tell me wait for another 13 days\1 Seriously\1",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
468801.0,"[USER] Thank you! Your message has been sent. We will contact you within 12 business hours, 7 days a week 10:00 to 19:00 IST.",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
1387355.0,[USER] Reach us via phone is not there,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
909527.0,"[USER] OK, could U please tell me previous sold out time\1 So that I can prepare myself","[USER] You don't have to register for sale. However, you can subscribe from here: [URL] for sale notifications.^VN",Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
133870.0,[USER] What is the status of my order? No words to describe your services #amazon #pathetic after sales.,,Delivery & Shipping,No,Standard status inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
660360.0,[USER] Today at 8:00PM. Post office that my package is located at is closed however. This happens every single time I order something. I have to get in contact with either Amazon or the Carrier. Unbelievable.,,Customer Service Access,No,Support access inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2919891.0,[USER] I am going to cancel my Prime account that I’ve had for years. The quality of your customer support has gone downhill since you started outsourcing it. I tried calling three times with a return issue and not one person could comprehend. #amazon,,Account & Security,Yes,Security risk: account access requires verification,"Grounded in historical resolution, polite, concise.",Medium,1.0,Simulated human label based on taxonomy.
1748145.0,"[USER] Wait cause it's not considered late yet, but last order never made it. This is like 7th time this has happened.",,Delivery & Shipping,No,Standard delivery issue,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
930244.0,[USER] Hi it's been found my mother who has dementia had it hidden in her room,"[USER] I'm sorry you've not received your order. Has the delivery date changed from your confirmation e-mail? You can check that here: [URL] Please let us know, we'd like to help where we can. ^KL",Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
2728898.0,[USER],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
91370.0,"[USER] J’ai suivie les instructions, 24h apres aucune nouvelle est-ce normal? Mes commande devais arriver demain je fait comment moi?",,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
415097.0,Does [USER] do price adjustments? My order was placed on 01 OCT. [USER],,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
198021.0,[USER] i ordered battlefront 2 off your website and still havent received my beta code after 3 customer service staff said i would by now,,Delivery & Shipping,No,General delivery inquiry,"Grounded in historical resolution, polite, concise.",Low,1.0,Simulated human label based on taxonomy.
